shipment_id,order_id,driver_id,expected_delivery_date,actual_delivery_date,delivery_status,delivery_region,sla_days
SHP0162,ORD0162,10,2024-08-13,"August 18, 2024",Delayed,North,5
SHP0163,ORD0163,3,12/02/2024,02-15-2024,Delayed,East,5
SHP0164,ORD0164,10,07-15-2024,2024-07-20,Returned,North,5
SHP0165,ORD0165,9,04-Sep-2024,14-Sep-2024,Delayed,South,5
SHP0166,ORD0166,3,21/09/2024,"September 26, 2024",Returned,East,5
SHP0167,ORD0167,4,23-Dec-2024,,Lost,West,5
SHP0168,ORD0168,,2024-12-19,19/12/2024,Delivered,West,5
SHP0169,ORD0169,9,18/09/2024,2024-09-20,Returned,South,5
SHP0170,ORD0170,4,03-Apr-2024,2024-04-08,Delivered,West,5
SHP0171,ORD0171,7,13-Apr-2024,"April 18, 2024",Delivered,East,5
SHP0172,ORD0172,6,16-Jun-2024,18/06/2024,Delivered,South,5
SHP0173,ORD0173,3,02/06/2024,05-Jun-2024,Returned,East,5
SHP0174,ORD0174,6,"October 17, 2024","October 21, 2024",Delayed,South,3
SHP0175,ORD0175,9,"February 26, 2024",2024-02-29,Delayed,South,5
SHP0176,ORD0176,4,06-Sep-2024,09-06-2024,Delivered,West,5
SHP0177,ORD0177,10,08-06-2024,"August 15, 2024",Delayed,North,5
SHP0178,ORD0178,5,06-06-2024,"June 11, 2024",Returned,North,5
SHP0179,ORD0179,8,"April 13, 2024","April 15, 2024",Returned,West,5
SHP0180,ORD0180,9,13-Nov-2024,,Lost,South,5
SHP0181,ORD0181,7,09/01/2024,,Lost,East,5
SHP0182,ORD0182,7,2024-12-25,27/12/2024,Delivered,East,5
SHP0183,ORD0183,3,28-Nov-2024,01/12/2024,Returned,East,5
SHP0184,ORD0184,3,"December 30, 2024",02-Jan-2025,Delivered,East,5
SHP0185,ORD0185,,"February 12, 2024",2024-02-12,Delivered,West,3
SHP0186,ORD0186,8,2024-12-17,"December 21, 2024",Returned,West,3
SHP0187,ORD0187,5,2024-12-15,28-Dec-2024,Delayed,North,5
SHP0188,ORD0188,1,"February 10, 2024",,Lost,North,5
SHP0189,ORD0189,4,07-19-2024,2024-07-31,Delayed,West,5
SHP0190,ORD0190,4,29-Apr-2024,05-06-2024,Delivered,West,5
SHP0191,ORD0191,3,2024-05-24,"May 28, 2024",Returned,East,3
SHP0192,ORD0192,10,"January 28, 2024",02-02-2024,Delivered,North,5
SHP0193,ORD0193,6,27/10/2024,,Lost,South,5
SHP0194,ORD0194,5,2024-11-21,"December 01, 2024",Delayed,North,5
SHP0195,ORD0195,4,2024-03-22,"March 27, 2024",Returned,West,5
SHP0196,ORD0196,4,10-19-2024,,Lost,West,5
SHP0197,ORD0197,8,"February 20, 2024",,Lost,West,3
SHP0198,ORD0198,6,19-Apr-2024,04-May-2024,Delayed,South,3
SHP0199,ORD0199,6,27-Jul-2024,2024-07-28,Delivered,South,5
SHP0200,ORD0200,4,25-Feb-2024,03-09-2024,Delayed,West,5
SHP0201,ORD0201,5,10-15-2024,17/10/2024,Delivered,North,5
SHP0202,ORD0202,3,12/09/2024,,Lost,East,5
SHP0203,ORD0203,1,02-13-2024,,Lost,North,5
SHP0204,ORD0204,3,17/11/2024,27/11/2024,Delayed,East,5
SHP0205,ORD0205,3,"January 14, 2024",20/01/2024,Delayed,East,5
SHP0206,ORD0206,,"May 21, 2024",21-May-2024,Delivered,East,5
SHP0207,ORD0207,5,02-22-2024,"February 25, 2024",Delivered,North,5
SHP0208,ORD0208,8,"October 19, 2024",,Lost,West,3
SHP0209,ORD0209,10,2024-12-21,05/01/2025,Delayed,North,5
SHP0210,ORD0210,9,"February 14, 2024",2024-02-18,Returned,South,5
SHP0211,ORD0211,4,23-Dec-2024,"January 02, 2025",Delayed,West,5
SHP0212,ORD0212,4,"January 21, 2024",21-Jan-2024,Delivered,West,5
SHP0213,ORD0213,8,"November 17, 2024",,Lost,West,5
SHP0214,ORD0214,8,07-06-2024,,Lost,West,3
SHP0215,ORD0215,4,10-17-2024,21-Oct-2024,Returned,West,5
SHP0216,ORD0216,8,"June 03, 2024",06/06/2024,Returned,West,5
SHP0217,ORD0217,8,"March 17, 2024",21/03/2024,Delayed,West,5
SHP0218,ORD0218,1,13-May-2024,15/05/2024,Returned,North,5
SHP0219,ORD0219,7,"June 22, 2024",01/07/2024,Delayed,East,5
SHP0220,ORD0220,7,07-27-2024,,Lost,East,5
SHP0221,ORD0221,3,20/10/2024,2024-10-20,Delivered,East,5
SHP0222,ORD0222,7,08-02-2024,08-03-2024,Returned,East,5
SHP0223,ORD0223,5,07-Nov-2024,,Lost,North,5
SHP0224,ORD0224,10,12/05/2024,"May 24, 2024",Delayed,North,5
SHP0225,ORD0225,8,"January 11, 2024",,Lost,West,5
SHP0226,ORD0226,8,12-18-2024,"December 19, 2024",Returned,West,5
SHP0227,ORD0227,10,02-Jul-2024,07-07-2024,Delayed,North,5
SHP0228,ORD0228,4,02-09-2024,10/02/2024,Returned,West,5
SHP0229,ORD0229,9,10-14-2024,,Lost,South,5
SHP0230,ORD0230,8,"January 20, 2024",01-23-2024,Returned,West,5
SHP0231,ORD0231,1,2024-10-06,10/10/2024,Returned,North,5
SHP0232,ORD0232,7,13/11/2024,2024-11-26,Delayed,East,5
SHP0233,ORD0233,,2024-06-14,"June 14, 2024",Delivered,North,5
SHP0234,ORD0234,2,08-09-2024,2024-08-14,Returned,South,5
SHP0235,ORD0235,8,07/07/2024,07-09-2024,Delivered,West,5
SHP0236,ORD0236,8,03/01/2025,,Lost,West,5
SHP0237,ORD0237,2,04-01-2024,04-04-2024,Delayed,South,5
SHP0238,ORD0238,5,11-Oct-2024,"October 16, 2024",Returned,North,5
SHP0239,ORD0239,8,06-May-2024,"May 18, 2024",Delayed,West,5
SHP0240,ORD0240,5,"October 04, 2024",,Lost,North,5
SHP0241,ORD0241,5,08-03-2024,04-Aug-2024,Delivered,North,5
SHP0242,ORD0242,4,03-18-2024,03-18-2024,Delivered,West,5
SHP0243,ORD0243,,12-26-2024,28-Dec-2024,Delivered,West,5
SHP0244,ORD0244,4,"February 07, 2024",2024-02-10,Returned,West,5
SHP0245,ORD0245,6,27/06/2024,02-Jul-2024,Returned,South,3
SHP0246,ORD0246,4,2024-12-23,12-27-2024,Returned,West,5
SHP0247,ORD0247,9,07-26-2024,08-06-2024,Delayed,South,5
SHP0248,ORD0248,8,2024-01-10,,Lost,West,5
SHP0249,ORD0249,1,"July 12, 2024",,Lost,North,5
SHP0250,ORD0250,8,24/04/2024,2024-04-26,Returned,West,5
SHP0251,ORD0251,4,08-12-2024,08-12-2024,Delivered,West,5
SHP0252,ORD0252,,20/04/2024,2024-04-21,Returned,North,5
SHP0253,ORD0253,8,03-Mar-2024,03-11-2024,Delayed,West,5
SHP0254,ORD0254,6,23/10/2024,2024-10-24,Returned,South,5
SHP0255,ORD0255,10,25/04/2024,26-Apr-2024,Returned,North,5
SHP0256,ORD0256,8,2024-11-28,,Lost,West,5
SHP0257,ORD0257,7,2024-11-01,10/11/2024,Delayed,East,5
SHP0258,ORD0258,1,10-Dec-2024,11-Dec-2024,Delivered,North,3
SHP0259,ORD0259,7,2024-07-14,,Lost,East,5
SHP0260,ORD0260,10,24/08/2024,08-24-2024,Delivered,North,3
SHP0261,ORD0261,1,22/09/2024,2024-09-27,Delivered,North,5
SHP0262,ORD0262,1,04-29-2024,,Lost,North,5
SHP0263,ORD0263,1,"April 29, 2024",2024-05-01,Returned,North,5
SHP0264,ORD0264,4,2024-07-12,07-17-2024,Returned,West,5
SHP0265,ORD0265,9,01-09-2024,"January 10, 2024",Returned,South,5
SHP0266,ORD0266,10,"June 11, 2024",11/06/2024,Delivered,North,5
SHP0267,ORD0267,3,"January 28, 2024",02-07-2024,Delayed,East,5
SHP0268,ORD0268,8,2024-11-04,,Lost,West,5
SHP0269,ORD0269,3,2024-08-22,,Lost,East,3
SHP0270,ORD0270,8,14-Jun-2024,"June 19, 2024",Returned,West,5
SHP0271,ORD0271,6,31-Dec-2024,01-11-2025,Delayed,South,5
SHP0272,ORD0272,10,18-May-2024,22/05/2024,Delayed,North,5
SHP0273,ORD0273,,06-Feb-2024,,Lost,North,5
SHP0274,ORD0274,3,01-17-2024,"January 19, 2024",Returned,East,5
SHP0275,ORD0275,10,"January 31, 2024",2024-02-08,Delayed,North,5
SHP0276,ORD0276,9,"May 26, 2024",06-Jun-2024,Delayed,South,3
SHP0277,ORD0277,5,05-28-2024,,Lost,North,5
SHP0278,ORD0278,4,2024-09-07,07/09/2024,Delivered,West,5
SHP0279,ORD0279,2,"May 28, 2024",2024-05-30,Returned,South,5
SHP0280,ORD0280,9,"October 05, 2024","October 09, 2024",Returned,South,5
SHP0281,ORD0281,,2024-11-03,,Lost,East,5
SHP0282,ORD0282,7,11-Sep-2024,2024-09-24,Delayed,East,3
SHP0283,ORD0283,9,06-26-2024,26-Jun-2024,Delivered,South,3
SHP0284,ORD0284,7,2024-07-15,"July 18, 2024",Delivered,East,5
SHP0285,ORD0285,4,"April 04, 2024",,Lost,West,5
SHP0286,ORD0286,5,22/10/2024,02/11/2024,Delayed,North,5
SHP0287,ORD0287,10,"July 01, 2024",13/07/2024,Delayed,North,5
SHP0288,ORD0288,7,01-Mar-2024,02-Mar-2024,Returned,East,5
SHP0289,ORD0289,3,26-Feb-2024,"March 12, 2024",Delayed,East,5
SHP0290,ORD0290,10,06-29-2024,10-Jul-2024,Delayed,North,5
SHP0291,ORD0291,8,13-Aug-2024,,Lost,West,5
SHP0292,ORD0292,3,"June 04, 2024",,Lost,East,3
SHP0293,ORD0293,8,04-Jun-2024,,Lost,West,5
SHP0294,ORD0294,5,2024-07-27,"July 29, 2024",Delivered,North,5
SHP0295,ORD0295,3,21/08/2024,,Lost,East,5
SHP0296,ORD0296,1,"December 13, 2024",,Lost,North,5
SHP0297,ORD0297,4,09-05-2024,09-Sep-2024,Delayed,West,5
SHP0298,ORD0298,6,22/08/2024,,Lost,South,5
SHP0299,ORD0299,2,17-Jun-2024,,Lost,South,5
SHP0300,ORD0300,4,05-Aug-2024,08-19-2024,Delayed,West,5
SHP0098,ORD0098,10,07/05/2024,05-14-2024,Delayed,North,3
SHP0021,ORD0021,3,"December 27, 2024",2025-01-01,Returned,East,5
SHP0200,ORD0200,4,25-Feb-2024,03-09-2024,Delayed,West,5
SHP0015,ORD0015,6,07-28-2024,,Lost,South,5
SHP0198,ORD0198,6,19-Apr-2024,04-May-2024,Delayed,South,3
SHP0086,ORD0086,9,"August 19, 2024","August 23, 2024",Returned,South,5
SHP0090,ORD0090,9,10-08-2024,12/10/2024,Returned,South,5
SHP0112,ORD0112,8,05-30-2024,06-05-2024,Delayed,West,5
